pillar,module,topic,slug,title,inferred_archetype,confidence_band
P01,core-java,comparisons,checked-vs-unchecked-exception-java-comparison,"Checked vs Unchecked Exceptions in Java — Hierarchy, Compiler Rules, and Modern Design Guidance",B,high
P01,core-java,comparisons,heap-vs-stack-memory-java-comparison,"Heap vs Stack Memory in the JVM — What Lives Where, Lifetime, and OOM vs StackOverflow",B,high
P01,core-java,exception-handling,best-practices-for-exception-handling-java,Java Exception-Handling Best Practices — Anti-Patterns and Their Fixes,A,medium
P01,core-java,exception-handling,checked-vs-unchecked-exceptions-java-when-to-use,Checked vs Unchecked Exceptions in Java,B,medium
P01,core-java,exception-handling,custom-exceptions-java,Creating Custom Exceptions in Java,A,medium
P01,core-java,exception-handling,exception-hierarchy-java,"Exception Hierarchy — Throwable, Error, Exception, RuntimeException",A,medium
P01,core-java,exception-handling,finally-block-execution-rules-java,When `finally` Does NOT Execute — Every Edge Case in Java,A,medium
P01,core-java,exception-handling,java-optional-prevent-null-pointer-exception,Java Optional: Eliminating NullPointerException,A,medium
P01,core-java,exception-handling,throw-vs-throws-java-difference,"`throw` vs `throws` in Java — Keyword, Clause, and When to Use Each",E,high
P01,core-java,exception-handling,try-with-resources-autocloseable,try-with-resources and AutoCloseable,A,low
P01,core-java,generics-wildcards,bounded-vs-unbounded-wildcards-java,"Bounded vs Unbounded Wildcards in Java — `?`, `? extends T`, `? super T` with Real Examples",B,medium
P01,core-java,generics-wildcards,generics-in-java-introduction-and-benefits,"Java Generics — What They Solve, What They Give You, What Type Erasure Costs",A,medium
P01,core-java,generics-wildcards,java-generics-type-erasure-explained,Java Generics and Type Erasure,A,medium
P01,core-java,generics-wildcards,pecs-principle-producer-extends-consumer-super,"PECS — Producer-Extends, Consumer-Super: The One Rule That Solves Most Wildcard Decisions",A,medium
P01,core-java,generics-wildcards,why-cant-create-generic-array-java,Why You Can't Create a Generic Array in Java — Reifiable vs Non-Reifiable Types,B,medium
P01,core-java,java-io-nio,channels-and-buffers-java-nio,"Channels and Buffers in Java NIO — `FileChannel`, `SocketChannel`, `ByteBuffer`",A,medium
P01,core-java,java-io-nio,how-to-read-large-file-efficiently-java,Reading Large Files Efficiently in Java — Strategies and Tradeoffs,A,medium
P01,core-java,java-io-nio,java-io-streams-overview-byte-vs-character,Java I/O Streams — Byte Streams vs Character Streams Explained,B,medium
P01,core-java,java-io-nio,java-nio-vs-io-comparison,Java IO vs NIO — Blocking Streams vs Non-Blocking Channels,B,medium
P01,core-java,java-io-nio,serialization-vs-externalizable-java,`Serializable` vs `Externalizable` in Java — Which to Use for Performance,E,high
P01,core-java,reflection-annotations,annotation-processing,Compile-Time Annotation Processing (APT) — How Lombok and AutoValue Work,A,medium
P01,core-java,reflection-annotations,custom-annotations,Creating and Processing Custom Annotations in Java,A,medium
P01,core-java,reflection-annotations,meta-annotations-retention-target,"Meta-Annotations in Java — `@Retention`, `@Target`, `@Documented`, `@Inherited` Explained",A,medium
P01,core-java,reflection-annotations,reflection-basics,Java Reflection — Inspecting and Manipulating Classes at Runtime,A,medium
P01,core-java,reflection-annotations,reflection-performance-cost-java,Java Reflection Performance — Why It's Slow and What `MethodHandle` / `LambdaMetafactory` Do Differently,A,medium
P01,core-java,reflection-annotations,what-is-reflection-in-java-use-cases,"Java Reflection — What It Is, Real Use Cases, and the Risks You Accept",A,medium
P01,core-java,scenario-based,final-finally-finalize-java-difference,final vs finally vs finalize in Java,B,medium
P01,core-java,scenario-based,hashmap-resize-rehash-internals,HashMap Resize and Rehash Internals,D,high
P01,core-java,scenario-based,how-does-hashmap-work-internally-java,"HashMap Internals: Buckets, Hashing, and Resizing",D,high
P01,core-java,scenario-based,how-java-garbage-collection-works,"Java Garbage Collection: GC Roots, Mark-and-Sweep, and Generational GC",D,high
P01,core-java,scenario-based,java-autoboxing-unboxing-integer-cache,"Autoboxing, Unboxing, and the Integer Cache",D,high
P01,core-java,scenario-based,java-date-time-api,"Java Date/Time API (java.time) — LocalDate, ZonedDateTime, Duration, Period",D,high
P01,core-java,scenario-based,java-functional-interfaces-lambdas-explained,Functional Interfaces and Lambdas in Java,D,high
P01,core-java,scenario-based,java-method-references-four-types,Method References in Java — Four Types Explained,D,high
