slug,archetype,confidence,importance,difficulty,module,topic,title,file
datafetcher-and-dataloader-graphql-java,A,medium,high,intermediate,graphql,graphql-fundamentals,How DataFetcher and DataLoader Work,content/java-backend-intermediate/graphql/graphql-fundamentals/complete-qa.json
graphql-authentication-authorization-spring-boot,A,medium,high,intermediate,graphql,graphql-fundamentals,Authentication and Authorization in GraphQL with Spring Security,content/java-backend-intermediate/graphql/graphql-fundamentals/complete-qa.json
graphql-error-handling-spring-boot,A,medium,high,intermediate,graphql,graphql-fundamentals,GraphQL Error Handling in Spring Boot,content/java-backend-intermediate/graphql/graphql-fundamentals/complete-qa.json
graphql-n-plus-one-problem-batchloader,A,medium,high,intermediate,graphql,graphql-fundamentals,N+1 Problem in GraphQL and the BatchLoader Solution,content/java-backend-intermediate/graphql/graphql-fundamentals/complete-qa.json
graphql-pagination-cursor-vs-offset,B,medium,high,intermediate,graphql,graphql-fundamentals,GraphQL Pagination — Cursor-Based vs Offset-Based,content/java-backend-intermediate/graphql/graphql-fundamentals/complete-qa.json
graphql-query-mutation-subscription-differences,A,medium,high,intermediate,graphql,graphql-fundamentals,"Query, Mutation, Subscription — Core Operation Types",content/java-backend-intermediate/graphql/graphql-fundamentals/complete-qa.json
graphql-schema-design-best-practices,A,medium,high,intermediate,graphql,graphql-fundamentals,GraphQL Schema Design Best Practices,content/java-backend-intermediate/graphql/graphql-fundamentals/complete-qa.json
graphql-vs-rest-when-to-choose,B,medium,high,intermediate,graphql,graphql-fundamentals,GraphQL vs REST — When to Choose Each,content/java-backend-intermediate/graphql/graphql-fundamentals/complete-qa.json
grpc-vs-rest-vs-graphql,B,medium,high,intermediate,graphql,graphql-fundamentals,gRPC vs REST vs GraphQL,content/java-backend-intermediate/graphql/graphql-fundamentals/complete-qa.json
setting-up-spring-for-graphql,A,medium,high,intermediate,graphql,graphql-fundamentals,Setting Up Spring for GraphQL (spring-graphql),content/java-backend-intermediate/graphql/graphql-fundamentals/complete-qa.json
testing-graphql-endpoints-spring-boot,A,medium,high,intermediate,graphql,graphql-fundamentals,Testing GraphQL Endpoints in Spring Boot,content/java-backend-intermediate/graphql/graphql-fundamentals/complete-qa.json
grpc-deadlines-cancellation-java,A,medium,high,intermediate,grpc,grpc-fundamentals,Deadlines and Cancellation in gRPC,content/java-backend-intermediate/grpc/grpc-fundamentals/complete-qa.json
